serb:rus
važan:важный, значительный
ug[u]šiti:задушить, заглушить, усмирить
[u]daranje:нанесение ударов
udruž[e]nje:объединение, союз
[u]zbuna:тревога, переполох, мятеж
uznem[i]riti:обеспокоить, взволновать
ulog:вклад, взнос, ставка
[u]loga:роль
[u]mesto:вместо
[u]metnik:артист, художник
[u]metnost:искусство
[u]miti se:умыться
[u]mišljaj:намерение, замысел
[u]ništitelj:истребитель
up[a]liti:зажечь
upis:запись в список, приём куда-то
[u]potreba:употребление, использование
[u]putstvo:наставление, инструкция
up[u]štati:выпускать из рук, бросать кого-л.
[u]redba:приказ, положение
[u]redan:аккуратный, правильный
ur[e]diti:привести в порядок, уладить
[u]ređaj:распорядок, строй; оборудование
usv[o]jiti:усыновить, приняь (резолюцию, закон)
uspon:подъём, восхождение
uspor[a]vati:замедлять
[u]stanak:восстание
[u]teha:утешение
učvršć[i]vati:скреплять, укреплять
[u]češće:участие
c[e]pati:раскалывать, раздирать
cilj:цель
čv[r]st:твёрдый, крепкий, трудный
č[i]njeninca:факт
šale:шутливо, в шутку
šapa:лапа
šverc:контрабанда
šteta:убыток, потеря, ущерб
šumski:лесной
r[a]skrsnica:перекрёсток, узел(транспортный)
n[i]zija:низина, низменность
stan[o]vnik:житель, обитатель
suosn[i]vač:сооснователь
[o]pstati:просуществовать, прожить
steći:получить, завладеть
kruna:корона, венец
t[r]govina:торговля
pristup:вступление, введение
usp[o]staviti:установить(связь, порядок и тд)
cel[o]kupno:целиком
d[a]našnji:сегодняшний, нынешний
odjek[i]vati:звучать, раздаваться
p[o]dručje:территория; сфера деятельности
popis:список, регистр; перепись
p[o]velja:грамота, хартия
privremen:временный
strašan:страшный, грозный
=============================================
berza:биржа
bes:ярость, злоба, бешенство
b[i]rački:избирательный(напр., бюллетень)
biser:жемчуг
br[u]jati:гудеть, звенеть, рокотать
već[i]na:большинство
ge[o]detski:геодезический
gl[a]sanje:голосование
gl[a]sački:избирательный, предусмотренный для голосования
gotov:готовый, законченный
g[o]tovo:наличные деньги
d[a]vati:давать, выдавать
dalje:всё ещё, далее
depo:депо, склад
d[i]gnuti:поднять, повысить
dož[i]veti:переживать, испытывать
d[o]kazni:служащий для доказательства
dosad:до сих пор, до настоящего времена
d[o]sada:скука
dosadno:скучно
drug[a]čije:иначе, по-другому
ž[a]liti:жалеть, скорбеть, оплакивать
z[a]brana:запрет, наложение ареста
zabrinj[a]vati:заботить, беспокоить
zavod:заведение, институт, учреждение
z[a]lupiti:захлопнуть
z[a]uvek:навсегда
za[u]staviti:остановить, задержать
zbr[i]nuti:обеспечить
[i]ako:хотя и; несмотря на то, что
[i]zlazak:выход, восход
iznad:над; сверх
ipak:всё же, всё-таки, однако, впрочем
is[e]liti:выселить
isplać[i]vati:выплачивать
jastog:омар
junak:герой, молодец
konv[e]rzija:конверсия, изменение убеждений
kopno:суша, материк, земля
lonac:горшок, кастрюля
metak:пуля, выстрел
metа:цель, мишень
navod:ссылка, цитата
naklon:поклон, приветствие
n[a]predovati:прогрессировать, развиваться
n[a]predak:прогресс, успех
nap[u]stiti:оставить, покинуть
n[a]stavljati:продолжать, удлинять
n[a]terati:заставить, принудить, загнать
nezadov[o]ljstvo:недовольство
nered:беспорядок
niži:низший
ob[o]riti:свалить, сбить, срубить
[o]brnuto:необорот, напротив
[o]dvojen:отдельный, выделенный
odj[e]knuti:прозвучать, раздаться
odlika:отличие, особенность
odl[u]čiti:решить, принять решение, резолюцию
održ[a]vati:сохранять, поддерживать 
[o]sveta:месть, отмщение
os[u]mnjičiti:заподозрить
[o]tmica:похищение
pesma:песня
p[e]vati:петь
pluće:лёгкое(анат.)
p[o]dmetnuti:подложить, подставить, подбросить
p[o]dručje:территория, край, подведомственная область
p[o]zivnica:пригласительный билет, повестка
pojevt[i]niti:подешеветь, удешевить
pokret:движение, передвижение
p[o]kretan:передвижной, движимый
poljod[e]lac:земледелец, хлебопашец
poljopr[i]vrednik:работник сельского хозяйства
p[o]ljubac:поцелуй
p[o]stignuti:добиться, достигнуть
pos[u]stati:устать, утомиться
potez:движение, жест, штрих,черта
praksa:практика
prekop[u]ta:против, напротив
pr[e]stignuti:обогнать, перегнать
============================================================
br[a]niti:защищать; препятствовать
vanzem[a]ljac:пришелец
vl[a]danje:поведение
gazda:босс, руководитель
dog[o]diti:попасть, угодить
dokaz:доказательство, довод, улика
don[o]siti:приносить
zagl[a]viti:заклинить, вбить клин, застрять
z[a]stupnik:представитель, защитник, ходатай
izabr[a]nik:избранник
Jermen:армянин
n[a]vodno:якобы, будто бы
nal[o]žiti:приказывать, поручать
nap[a]jati:подпитывать; вдохновлять
nesl[a]ganje:несогласие, разлад
n[e]stali:пропавший без вести
obeć[a]nje:обещание
[o]dati:выдать
odr[e]diti:определить, назначить
ok[o]lnost:обстоятельство
om[e]tati:мешать, препятствовать, отвлекать
pomak:небольшое продвижение
p[o]slovan:деловой, рабочий
počast:почёт, уважение
pr[a]tilac:сопровождающий, спутник
pr[e]daja:передача, сдача, вручение
pretvoriti:превратить
pre[u]zeti:предпринять, взять на себя
============================================================
privl[a]čiti:притягивать, привлекать
prija:приятельница
prim[o]rati:вынудить, заставить
prir[e]diti:устроить, организовать
pritvor:задержание, арест
pro[i]zvod:продукт производства, изделие
pr[o]metan:деловой, бойкий
pron[a]lazak:изобретение
propis:правило, порядок
r[a]skršće:перекрёсток, распутье
raspis[i]vati:объявлять в печати
napon:напряжение, натяжение, заряд
rast[u]žiti:опечалить
rata:взнос, частичная выплата
==============================================================
rež[i]rati:режиссировать
r[o]čište:судебное слушание
rukav:рукав
rupa:дыра; нора
r[u]ševina:развалина, руина
s[a]govornik:содокладчик
s[a]tnica:почасовая оплата
sač[u]vati:сохранить, сберечь
sl[a]viti:прославлять; праздновать
smak:гибель, конец
smer:напрвление, курс; намерение
s[r]ljati:стремглав нестись, падать
stanje:состояние, положение
st[i]zati:догонять;достигать;успевать;быть достаточным
shv[a]titi:понять, уловить; быть достаточным
===============================================================
tamo-amo:взад-вперёд
t[a]pšanje:аплодисменты, похлопывание
tok:течение, ход
tum[a]čiti:объяснять, переводить
ub[e]dljivo:убедительно
[u]vetovati:обусловить
ug[o]stiti:принять гостей
[u]zbuna:тревога, переполох
[u]zburkati:взбудоражить, встревожить
[u]kinuti:отменить, упразднить
[u]oči:накануне
up[r]kos:вопреки, наперекор
[u]sijan:раскалённый, блестящий
usp[o]stavljati:устанавливать, восстанавливать
[u]ticati:влиять, воздействовать
ut[i]šati:успокоить, утихомирить
===============================================================
[u]čionica:класс, аудитория
č[u]vati:беречь, хранить, охранять
čuven:известный, знаменитый
dž[e]paroš:вор-карманник
šator:шатёр, палатка
šiber:автомобильный люк
štrajk:забастовка, стачка
kam[i]on:грузовик
dlaka:шерсть
p[o]voljan:благоприятный, подходящий
upl[o]viti:войти в порт или гавань
luka:морской залив; порт, гавань
miran:мирный, тихий, спокойный
osim:кроме(предлог)
izn[o]šenje:вынесение(н., предложения), выставление(н., требований)
makar:хотя, хоть бы; любой
makar ko: кто бы то ни было
dakle:итак, следовательно, значит
divli:дикий
smeće:мусор
p[o]tpunost:полнота, цельность
uređ[e]nje:устройство, строй; улаживание; приготовление
=================================================================
v[e]čit:вечный
[i]zbeći:избежать, уклониться; эмигрировать, сбежать
ipak:всё же, всё-таки, впрочем
nega:уход, попечение
nećak:племянник
odj[e]dnom:вдруг, внезапно
ok[u]pljati:собирать, созывать, сосредоточивать
p[a]tinuti:перестать, прекратиться
poj[a]viti se:появиться, выступить, возникнуть, показаться
pr[i]siliti:принудить, заставить
prihv[a]tliv:приемлемый
rival:соперник, конкурент
tretirati:обращаться с кем-то, обходиться
cile mile:валять дурака, маяться дурью
č[i]njenica:факт
stisak:сжатие
šteta:убыток, потеря, ущерб
[u]loga:роль
održ[a]vati:поддерживать, сохранять в каком-то состоянии
pr[o]laziti:проходить, проезжать
=================================================================
vreva:давка, суматоха, шум, галдёж
grozan:грозный, страшный, жуткий
zak[a]zati:назначить
zgodan:удобный, подходящий, благоприятный
izvoditi:выводить(н., делать вывод), разводить(н., цыплят)
isk[u]stvo:опыт, опытность
neizr[e]civ:невыразимый, неизъяснимый
pon[o]viti:возобновить, обновить
poraz:поражение, разгром
potpuno:совершенно, целиком
pregled:обзор, осмотр, ревизия
pripremiti:подготовить, приготовить
trulo:купол
unapr[e]diti:продвинуть вперёд, повысить в должности
čak:даже
čak do:вплоть до
=================================================================
br[i]sati:стирать, вытирать
br[i]salo:тряпка для вытирания чего-то
g[o]vorkati:поговаривать
d[e]limićno:частично, отчасти
dog[o]diti:попасть, угодить
d[o]lazak:прибытие, приезд, приход
z[a]jednica:объединение, союз, общность
zid:стена
insist[i]rati:настаивать
m[r]žnja:ненависть, злоба
neop[o]ziv:несменяемый; тот, который нельзя отменить
ograđ[i]vati:огораживать, ограждать
[o]datle:оттуда
[o]dakle:откуда
[o]dlazak:отъезд, уход; отправление отранспорта
od[u]zeti:отнять, отобрать; вычесть
od[u]stajati:отказываться, отступаться
podn[o]siti:подносить, подавать; предлагать
p[o]nuditi:предложить
==========================================================
p[o]nuditi se:предложить свои услуги
pr[i]lepak:пластырь, наклейка
pr[i]hvatiti:принять (н., какой-то документ)
prom[e]niti:изменить, заменить, разменять деньги
s[a]hrana:похороны
svest:сознание, рассудок, сознательность
izgubiti svest:потерять сознание
senka:тень
sl[o]novača:слоновая кость
smer:направление, курс, намерение
sp[o]razum:соглашение, договор
sram[o]ta:стыд, позор
sušt[i]na:сущность
[u]vreda:оскорбление, обида
up[i]jati:впитывать, поглощать
up[o]zoriti:предостеречь, предупредить
[u]tisak:впечатление, оттиск, отпечаток
č[a]šćenje:прославление, угощение(как действие)
==========================================================
z[a]druga:кооператив, артель, товарищество
z[a]kasniti se:опоздать, запоздать
z[a]pravo:в самом деле; откровенно говоря
zl[i]kovac:злодей, преступник
isk[a]zati se:высказаться; удостоверить личность документом
mal[i]šan:малыш, мальчик
nad[o]knada:возмещение, компенсация
n[a]laziti:находить; считать, полагать
poziv:зов, вызов; призвание
prom[e]niti:изменить, заменить, разменять деньги
s[a]osećaj:сочувствие, соболезнование
slavlje:празднование, торжество, юбилей
uvod:введение, предисловие; ввод
